,Name,Link,Description
0,AWS re:Invent,https://reinvent.awsevents.com/,"AWS re:Invent is a learning conference for the global cloud computing community. The event features keynote announcements, training and certification opportunities, access to technical sessions, deep-dives with AWS leaders, engaging with sponsors, and so much more"
1,AWS Global Summit,https://aws.amazon.com/events/summits/?trk=ep_card_event_page&awsf.events-location=*all&awsf.events-series=*all,"AWS Global Summits are free events that bring the cloud computing community together to connect, collaborate, and learn about AWS."
2,AWSome Day,https://aws.amazon.com/events/awsome-day/,"AWSome Day Online Conference is a free, online training event that will provide a step-by-step introduction to the core AWS services for compute, storage, databases, and networking"
3,AWS Innovate,https://aws.amazon.com/events/innovate-online-conference/,"AWS Innovate Online Conference is a free online event designed to inspire and educate executives and IT professionals about AWS. Whether you are new to AWS or an experienced user, you can learn something new at AWS Innovate"
4,AWS DevDay,https://aws.amazon.com/events/devday/?trk=ep_card_event_page,"AWS DevDays are free, technical events where developers will learn about some of the hottest topics in cloud computing"
5,AWS Training and Certification,https://aws.amazon.com/training/events/?trk=ep_card_main_event_page&get-certified-vilt-courses-cards.sort-by=item.additionalFields.startDateSort&get-certified-vilt-courses-cards.sort-order=asc&awsf.get-certified-vilt-courses-type=*all&awsf.get-certified-vilt-courses-series=*all&awsf.get-certified-vilt-audience=*all&awsf.get-certified-vilt-locations=*all&awsf.get-certified-vilt-countries=*all&awsf.get-certified-vilt-languages=*all&awsf.get-certified-vilt-courses-level=*all&awsf.get-certified-vilt-courses-tech-category=*all,"AWS Training and Certification offers both online and in-person events to help you leverage the power of the AWS Cloud. These events are designed to cover various levels of technical expertise across a wide range of roles and topics—including exam readiness webinars for anyone looking to become AWS Certified"
6,AWS Financial Services Cloud Symposium,https://aws.amazon.com/events/financial-services-cloud-symposium/?trk=ep_card_event_page,"AWS Financial Services Cloud Symposium, an event designed for financial services professionals seeking new strategies to drive business transformation."
7,AWS Energy Symposium,https://pages.awscloud.com/energy-symposium.html?sc_ichannel=ha&sc_icampaign=reg_energysymposium&sc_iplace=bus-leader-event&trk=a77f2566638d4d3a85f689680c8e242c,"Discover how organizations are transforming the energy industry and the innovations that can help you improve performance, accelerate innovation, transform the customer experience, maximize safety, and minimize your carbon footprint."
8,AWS PartnerCast,https://aws.amazon.com/partners/training/partnercast/?trk=ep_card_event_page&partnercast-training-webinar-cards.sort-by=item.additionalFields.sortText&partnercast-training-webinar-cards.sort-order=asc&awsf.partnercast-training-webinar-filter-content-type=event-type%23virtual&awsf.partnercast-training-webinar-filter-audience=*all&awsf.partnercast-training-webinar-filter-series=*all&awsf.partnercast-training-webinar-filter-language=language%23english&awsf.partnercast-training-webinar-filter-location=*all&awsf.partnercast-training-webinar-filter-technology-category=*all,"AWS PartnerCast is a series of free interactive webinars for AWS Partners, plus a library of on-demand training resources, to help AWS Partners in business and technical roles. AWS PartnerCast is designed to help Partners create new client opportunities, enhance professional relationships, and develop your AWS Cloud skills."
9,AWS Partner Events, https://aws.amazon.com/events/aws-partner-events/?trk=ep_card_main_event_page&events-master-all.sort-by=item.additionalFields.startDateTime&events-master-all.sort-order=asc&awsf.events-master-type=*all&awsf.events-master-tech-category=*all&awsf.events-master-location=*all,"AWS Partners host a variety of events which feature AWS services and speakers. Topics include Security, IoT, DevOps, Containers, Storage, Migration and key workloads such as SAP and Windows to name a few."
10,AWS Partner Webinars,https://aws.amazon.com/webinars/partner-webinars/?trk=ep_card_event_page&events-master-partner-webinars.sort-by=item.additionalFields.startDateTime&events-master-partner-webinars.sort-order=asc&awsf.type=*all&awsf.category=*all&awsf.use-case=*all,"AWS Partner Webinars are live, virtual sessions presented by AWS experts and accredited AWS Partner Network (APN) Partners who have demonstrated technical proficiency and proven customer success in specialized solution areas such as: Artificial Intelligence/Machine Learning (AI/ML), Containers, IoT, and more"
11,AWS AnalytiCON,https://aws.amazon.com/events/analyticon/?trk=ep_card_main_event_page,"AWS AnalytiCON are partner enablement events for worldwide consulting and services partner community, focused on AWS Data and Analytics portfolio of services and solutions"
12,AWS Public Sector Summit,https://aws.amazon.com/events/summits/online/public-sector/?trk=ep_card_main_event_page,"Join the AWS Public Sector Summit Online virtually to deepen your cloud knowledge and gain new skills to design, deploy, and use the cloud for your mission."
13,IMAGINE: Nonprofit,https://aws.amazon.com/government-education/nonprofits/imagine-nonprofit/,"Presented by Amazon Web Services (AWS), the IMAGINE: Nonprofit conference is a no-cost event that brings together nonprofit leaders, technologists, and innovators to discuss how technology can drive a positive impact for both people and our planet. This in-person event combines thought leadership sessions, dynamic workshops, and networking opportunities to create an educational, collaborative, and inspirational experience you won't want to miss."
14,IMAGINE: The New World of Education,https://aws.amazon.com/education/imagine-edu/webinar-series/?trk=ep_card_main_event_page&ps-events.sort-by=item.additionalFields.startDateTime&ps-events.sort-order=asc&awsf.events-ww-public-sector-organization=*all&awsf.events-ww-public-sector-theme=*all&awsf.events-ww-public-sector-type=*all,"IMAGINE: The New World of Education online series elevates key conversations with leaders from across the global education community. Join us each month to discover how education institutions and organizations are innovating in the cloud to make sure learners of all ages have continued access to education."
15,AWS Initiate,https://aws.amazon.com/government-education/events/?trk=ep_card_main_event_page&?nc2=h_ql_ev_ps_bps&ps-events.sort-by=item.additionalFields.startDateTime&ps-events.sort-order=asc&awsf.events-ww-public-sector-series=series%23aws-initiate&awsf.events-ww-public-sector-audience=*all&awsf.events-ww-public-sector-location=*all&awsf.events-ww-public-sector-type=*all,"The AWS Initiate Series is a global event series built for customers new to the cloud."
